Wahlkreis,Bundesland,CDU,CSU,SPD,GRUENE,LINKE,PIRATEN,FREIE,AFD
73,SAXA,9112,0,5623,5248,6763,929,1018,6902
74,SAXA,8752,0,5625,4057,5195,169,1575,6825
75,BER,6609,0,8514,6262,6113,761,1418,5200
76,BER,9042,0,5592,5089,5118,194,1408,5696
77,BER,7893,0,8574,7462,5876,380,1148,5031
78,BER,6665,0,4419,4327,2010,717,1045,6607
79,BER,5830,0,8722,6676,3336,997,1919,5784
80,BER,5040,0,8927,4365,5788,680,1170,6069
81,BER,7807,0,6842,6083,4280,409,1635,3838
82,BER,6009,0,7360,5153,4252,954,1668,3279
83,BER,7667,0,7015,6067,6619,428,1376,5688
84,BER,9825,0,7217,5007,4695,807,1244,3355
85,BER,8266,0,5514,4463,2267,396,1707,6729
86,BER,7634,0,4936,5418,6433,179,1583,4635
87,NRW,9266,0,8264,5380,6915,719,1238,5603
88,NRW,5717,0,5269,6996,3923,790,1661,5932
89,NRW,5337,0,5498,6384,6085,932,1980,4387
90,NRW,5111,0,5086,6846,6901,206,1931,3496
91,NRW,9422,0,5836,5449,4053,600,1606,3023
92,NRW,7111,0,4918,5373,2166,745,1042,5372
93,NRW,5023,0,4142,7226,4174,15,1677,4741
94,NRW,5888,0,8538,5417,3962,901,1112,3109
95,NRW,6299,0,4784,4187,4476,548,1054,5990
96,NRW,7202,0,4458,6737,6666,2,1858,5302
97,NRW,6842,0,8662,5786,6876,858,1678,6136
98,NRW,8154,0,5810,6257,2484,313,1077,6678
99,NRW,5518,0,5805,6205,4994,345,1306,4650
100,NRW,8878,0,7645,7189,3097,346,1466,4781
101,NRW,6007,0,4981,7157,4194,432,1923,4552
102,NRW,9571,0,8034,5411,3988,237,1463,5530
103,NRW,9403,0,5565,4563,6097,844,1189,3194
104,NRW,7050,0,8826,7357,4386,920,1471,3224
105,NRW,5481,0,4410,4874,4451,557,1551,3735
106,NRW,5234,0,6492,4156,5607,834,1396,3033
107,NRW,8698,0,7442,6616,5966,743,1520,6386
108,NRW,9296,0,4147,5335,5916,737,1757,4084
109,NRW,5852,0,5155,5201,5363,167,1788,5207
110,NRW,7693,0,7319,5065,2055,174,1668,4939
111,NRW,7211,0,4763,4156,5970,598,1358,4390
112,NRW,9876,0,7900,6890,3521,936,1359,5450
113,NRW,6602,0,8053,5000,3894,489,1559,4750
114,NRW,7148,0,7913,5877,2308,142,1172,5984
115,NRW,5345,0,6792,4334,4103,700,1177,4855
116,NRW,9493,0,8842,6272,4038,166,1185,3987
117,NRW,5110,0,6489,4893,2815,628,1963,3017
118,NRW,9875,0,4461,4688,6132,444,1701,3617
119,NRW,6616,0,7981,6515,6284,122,1971,5052
120,NRW,9193,0,6277,6140,6925,342,1756,5180
121,NRW,8351,0,5720,6492,6619,689,1053,6332
122,NRW,9680,0,5161,5433,4889,12,1733,3444
123,NRW,5845,0,8502,5021,2627,475,1126,4268
124,NRW,8467,0,4638,4599,4968,262,1099,6328
125,NRW,7480,0,7477,7455,4107,450,1498,5938
126,NRW,6228,0,6623,6278,3275,212,1046,3038
127,NRW,7992,0,6161,6913,3556,113,1818,5457
128,NRW,5110,0,4358,5041,2555,416,1927,3971
129,NRW,9580,0,8044,5550,3290,334,1420,4154
130,NRW,5759,0,8451,4212,4596,614,1339,6607
131,NRW,9288,0,4040,5095,5821,673,1289,4153
132,NRW,5454,0,7257,6109,4691,203,1023,4525
133,NRW,7897,0,8987,6136,3193,762,1436,4424
134,NRW,9376,0,7673,4712,2529,794,1041,6425
135,NRW,9420,0,6516,5442,3708,582,1411,6475
136,NRW,9643,0,6631,5886,6335,107,1606,6654
137,NRW,5172,0,7428,7064,4709,931,1698,4948
138,NRW,9099,0,4597,6292,2959,733,1473,4791
139,NRW,9437,0,6178,4076,3342,604,1338,3499
140,NRW,9254,0,6702,4170,4312,435,1467,6196
141,NRW,7297,0,7619,5183,3040,722,1718,4723
142,NRW,6478,0,4388,5224,4035,297,1423,6981
143,NRW,7466,0,5988,6871,5985,56,1193,6095
144,NRW,6692,0,5766,4625,5209,976,1493,6309
145,NRW,6785,0,7421,4781,4529,521,1493,4902
146,NRW,7544,0,7150,5283,6540,551,1775,6289
147,NRW,5540,0,6305,5524,3579,557,1100,3185
148,NRW,7418,0,4531,7108,5222,928,1492,5388
149,NRW,7965,0,4259,5864,6391,254,1738,3625
150,NRW,6709,0,6654,7428,5196,59,1886,4689
151,SAX,6244,0,6796,4933,3499,812,1827,3291
152,SAX,8216,0,6206,6638,5904,648,1102,4347
153,SAX,8391,0,4668,7205,4958,229,1437,5030
154,SAX,5244,0,4486,7479,3152,694,1080,4393
155,SAX,6463,0,4443,5397,4054,923,1378,5085
156,SAX,9718,0,6419,5739,2077,820,1085,5777
157,SAX,5669,0,8870,4315,4459,488,1859,5378
158,SAX,5318,0,8676,7157,6460,108,1806,6176
159,SAX,6622,0,6097,6100,5736,525,1235,4155
160,SAX,9965,0,5087,6568,4575,359,1395,6791
161,SAX,5717,0,6935,4354,6630,886,1585,5025
162,SAX,8551,0,8709,6230,5950,984,1499,4089
163,SAX,9153,0,4817,4105,2540,800,1800,5435
164,SAX,6013,0,6528,5494,5466,51,1033,5896
165,SAX,8358,0,7594,4472,6183,10,1965,5388
166,SAX,5016,0,6775,4686,4254,451,1339,3710
167,HES,6800,0,5230,4675,6334,305,1609,5516
168,HES,8191,0,6815,5735,2839,974,1568,3495
169,HES,8941,0,8170,5384,2290,137,1181,3085
170,HES,6425,0,7346,5602,5938,832,1468,4831
171,HES,9105,0,4366,5236,5519,262,1735,3553
172,HES,9397,0,4194,4777,5146,739,1888,3003
173,HES,6134,0,8677,5757,4540,297,1916,6063
174,HES,7021,0,7704,6429,2346,533,1970,5852
175,HES,7407,0,7596,4236,6901,963,1252,6780
176,HES,7050,0,4007,6688,3875,593,1139,6178
177,HES,9534,0,5793,5675,4687,410,1920,6183
178,HES,8228,0,6003,6400,2837,477,1070,5789
179,HES,6915,0,7827,6580,2646,139,1574,3855
180,HES,8243,0,6480,4185,2026,643,1953,4118
181,HES,5876,0,8374,5166,4786,528,1148,5068
182,HES,5167,0,7391,5367,2618,315,1551,6205
183,HES,9012,0,6432,5366,3085,526,1452,6477
184,HES,5106,0,4166,4966,5440,680,1881,3831
185,HES,7039,0,8544,6429,5486,895,1941,6985
186,HES,9574,0,6870,6318,3977,50,1455,4786
187,HES,8733,0,8031,5374,6400,434,1008,5640
188,HES,7769,0,5333,4220,6190,81,1673,4842
189,THU,6765,0,5679,4708,3724,635,1099,4635
190,THU,7293,0,8300,6130,4376,121,1687,3664
191,THU,9687,0,7302,6162,4130,101,1646,6152
192,THU,5410,0,6028,6815,5919,148,1004,3292
193,THU,9294,0,8999,4317,2412,281,1044,6179
194,THU,9144,0,8144,6589,2362,587,1720,4620
195,THU,8508,0,7064,5540,3935,698,1384,3190
196,THU,8606,0,5542,7045,2358,625,1437,4077
197,RP,9937,0,4878,5396,6340,650,1306,6608
198,RP,9630,0,4648,5284,6344,958,1777,4351
199,RP,6730,0,5442,7470,3949,459,1187,6756
200,RP,7713,0,4654,4687,3955,695,1577,3142
201,RP,9419,0,8088,5198,3061,928,1532,5383
202,RP,5660,0,6364,5760,4405,531,1711,5915
203,RP,7319,0,8597,7456,2884,364,1619,3586
204,RP,9491,0,8524,6377,5901,342,1845,3914
205,RP,6098,0,7674,5388,4088,948,1100,3962
206,RP,7035,0,8349,4515,6474,355,1059,3055
207,RP,6342,0,8642,4745,4345,185,1693,6607
208,RP,6463,0,8333,4927,4948,699,1213,3675
209,RP,8960,0,5249,5174,4581,141,1808,4451
210,RP,8800,0,8442,5042,3382,486,1763,3380
211,RP,8770,0,8506,6040,3159,176,1239,4156
212,BAY,0,7410,7902,5201,6843,924,1120,3780
213,BAY,0,6528,4544,6263,2111,49,1695,5510
214,BAY,0,9465,8288,4069,2804,583,1865,4568
215,BAY,0,5705,5049,5575,5546,45,1394,5826
216,BAY,0,7020,6623,4064,4144,500,1516,3559
217,BAY,0,6751,6223,4487,3291,760,1316,3498
218,BAY,0,8022,7276,6800,3026,191,1306,3867
219,BAY,0,8392,4703,7450,6752,857,1771,3225
220,BAY,0,6724,8875,7492,2146,82,1501,3328
221,BAY,0,5192,6893,4580,6022,229,1832,5406
222,BAY,0,7328,7206,5851,2349,924,1614,4229
223,BAY,0,8021,8230,6931,4164,131,1351,6227
224,BAY,0,7018,7562,6208,6573,52,1786,5449
225,BAY,0,8774,8330,5912,2578,829,1964,4287
226,BAY,0,7488,5919,4587,5286,58,1409,4607
227,BAY,0,7920,5000,5632,3989,136,1532,5888
228,BAY,0,5182,8068,4645,2526,501,1110,5992
229,BAY,0,6176,5390,5311,6503,470,1639,4001
230,BAY,0,8493,4818,4050,2806,741,1652,5688
231,BAY,0,6163,6493,7157,4943,657,1393,5161
232,BAY,0,6799,5299,5515,3892,904,1313,4972
233,BAY,0,5577,4595,6912,3060,482,1886,3403
234,BAY,0,6248,8434,5711,3064,539,1173,5575
235,BAY,0,6845,5253,6784,5820,287,1281,3770
236,BAY,0,5873,5139,5033,3008,396,1609,6154
237,BAY,0,8277,6406,5981,2399,671,1144,5701
238,BAY,0,5522,8110,5929,2459,314,1643,4789
239,BAY,0,7864,6837,4617,4626,455,1981,4004
240,BAY,0,6585,4431,5662,2715,696,1515,5830
241,BAY,0,5639,5972,5861,3306,434,1037,3718
242,BAY,0,9072,8100,6623,2161,323,1367,4643
243,BAY,0,9482,8636,7253,3845,336,1798,6230
244,BAY,0,6508,4723,4240,5916,64,1671,6195
245,BAY,0,5552,5033,4480,3958,669,1167,5062
246,BAY,0,6915,7297,5374,4603,886,1788,5677
247,BAY,0,7637,7085,5815,5521,225,1205,3791
248,BAY,0,5409,5076,4833,6629,677,1829,3510
249,BAY,0,5479,7985,4360,3790,991,1219,4125
250,BAY,0,8792,5604,5808,3512,206,1498,4865
251,BAY,0,8194,6694,7043,6653,463,1780,5350
252,BAY,0,9882,8305,4472,2923,726,1365,6604
253,BAY,0,9826,7032,5918,5247,652,1034,6451
254,BAY,0,9355,5138,7304,5305,471,1210,6119
255,BAY,0,6143,8334,7202,2468,107,1377,6391
256,BAY,0,5443,6930,6434,4951,919,1427,3638
257,BAY,0,6435,8558,6175,3344,171,1989,3299
258,BW,8246,0,8897,4101,2717,785,1259,3272
259,BW,7871,0,6288,4033,5552,461,1304,6010
260,BW,8440,0,8807,7224,4579,479,1729,6869
261,BW,3408,0,6439,5628,2435,88,1327,6110
262,BW,9431,0,4170,7183,3281,802,1905,6118
263,BW,6738,0,4971,5298,6281,588,1582,4992
264,BW,4254,0,8786,4564,6082,409,1421,5105
265,BW,6663,0,9000,5510,6610,928,1605,5143
266,BW,5340,0,4838,6480,5658,628,1547,4982
267,BW,8578,0,7822,6603,2754,35,1761,3648
268,BW,5993,0,8952,6858,6141,136,1531,6354
269,BW,6414,0,8641,5468,6459,738,1567,4452
270,BW,3542,0,8263,4194,4003,586,1984,5054
271,BW,3538,0,8374,6991,5974,152,1673,4409
272,BW,9185,0,7798,6185,5570,911,1152,5830
273,BW,4990,0,4491,4502,4700,112,1952,3151
274,BW,3184,0,5600,4833,4887,684,1875,3916
275,BW,5644,0,4041,4381,3362,458,1800,5380
276,BW,8525,0,6209,4876,6419,609,1568,3069
277,BW,5096,0,8212,7045,6477,227,1117,5098
278,BW,2558,0,8686,7407,5798,999,1253,3753
279,BW,9530,0,4887,5728,4969,941,1686,6460
280,BW,8566,0,6329,6486,5245,350,1014,5659
281,BW,4824,0,4997,6809,6319,348,1822,3821
282,BW,3504,0,7835,6267,5698,633,1870,5304
283,BW,9474,0,4861,4555,5439,479,1223,5385
284,BW,9005,0,5083,4363,3416,428,1828,4714
285,BW,7250,0,7732,4557,4918,769,1026,3790
286,BW,2715,0,8043,7267,6090,794,1369,6081
287,BW,7841,0,8230,6127,5637,762,1413,5249
288,BW,2053,0,4132,4885,5882,117,1813,5300
289,BW,6944,0,5137,4182,3735,528,1657,3546
290,BW,5407,0,5446,6180,4447,31,1891,6995
291,BW,2783,0,7687,5299,3368,97,1110,3086
292,BW,5069,0,7350,6049,2084,702,1757,5559
293,BW,7677,0,5659,5973,2826,958,1658,6547
294,BW,4000,0,5598,5504,5631,719,1821,5945
295,BW,2077,0,8114,6264,5205,907,1966,4278
296,SAAR,5741,0,4499,7261,6583,881,1571,5132
297,SAAR,3200,0,4813,4336,3974,37,1075,4792
298,SAAR,9737,0,8514,6831,4218,850,1439,6798
299,SAAR,3956,0,5118,7476,2756,2,1180,6463
